Full_Name,Full_Name_dbr,Year,Laureate_Id,Firstname,Lastname,Category,Gender,Prize_Share,Motivation,Birth_Date,Birth_Country,Birth_City,Birth_City_dbr,Birth_Country_Code,Organization_Name,Organization_Name_dbr
Barry Sharpless,Karl_Barry_Sharpless,2022,743,Barry,Sharpless,chemistry,Male,3,for the development of click chemistry and bioorthogonal chemistry,1941-04-28,USA,Philadelphia PA,Philadelphia,US,Scripps Research,Scripps_Research
Carolyn Bertozzi,Carolyn_Bertozzi,2022,1015,Carolyn,Bertozzi,chemistry,Female,3,for the development of click chemistry and bioorthogonal chemistry,1966-10-10,USA,Boston MA,Boston,US,Stanford University,Stanford_University
Morten Meldal,Morten_P._Meldal,2022,1016,Morten,Meldal,chemistry,Male,3,for the development of click chemistry and bioorthogonal chemistry,1954-01-16,Denmark,Copenhagen,Copenhagen,DK,University of Copenhagen,University_of_Copenhagen
Ben Bernanke,Ben_Bernanke,2022,1021,Ben,Bernanke,economics,Male,3,for research on banks and financial crises,1953-12-13,USA,Augusta GA,"Augusta,_Georgia",US,The Brookings Institution,Brookings_Institution
Douglas Diamond,Douglas_Diamond,2022,1022,Douglas,Diamond,economics,Male,3,for research on banks and financial crises,1953-10-25,USA,Chicago IL,Chicago,US,University of Chicago,University_of_Chicago
Philip Dybvig,Philip_H._Dybvig,2022,1023,Philip,Dybvig,economics,Male,3,for research on banks and financial crises,1955-05-22,USA,Gainesville FL,"Gainesville,_Florida",US,Washington University,University_of_Washington
Annie Ernaux,Annie_Ernaux,2022,1017,Annie,Ernaux,literature,Female,1,for the courage and clinical acuity with which she uncovers the roots estrangements and  collective restraints of personal memory,1940-09-01,France,Lillebonne,Lillebonne,FR,,
Svante Pääbo,Svante_Pääbo,2022,1011,Svante,Pääbo,medicine,Male,1,for his discoveries concerning the genomes of extinct hominins and human evolution,1955-04-20,Sweden,Stockholm,Stockholm,SE,Max Planck Institute for Evolutionary Anthropology,Max_Planck_Institute_for_Evolutionary_Anthropology
Ales Bialiatski,Ales_Bialiatski,2022,1018,Ales,Bialiatski,peace,Male,3,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,1962-09-25,Russia,Vyartsilya Karelia,Vyartsilya,RU,,
Alain Aspect,Alain_Aspect,2022,1012,Alain,Aspect,physics,Male,3,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,1947-06-15,France,Agen,Agen,FR,Institut d’Optique Graduate School – Université Paris-Saclay,Paris-Saclay_University
John F. Clauser,John_Clauser,2022,1013,John F.,Clauser,physics,Male,3,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,1942-12-01,USA,Pasadena CA,"Pasadena,_California",US,,
Anton Zeilinger,Anton_Zeilinger,2022,1014,Anton,Zeilinger,physics,Male,3,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,1945-05-20,Austria,Ried im Innkreis,Ried_im_Innkreis,AT,University of Vienna,University_of_Vienna
